objectid,uuid,accessioned,accessionnum,locationid,title,displaydate,beginyear,endyear,visualbrowsertimespan,medium,dimensions,inscription,markings,attributioninverted,attribution,provenancetext,creditline,classification,subclassification,visualbrowserclassification,parentid,isvirtual,departmentabbr,portfolio,series,volume,watermarks,lastdetectedmodification,wikidataid,customprinturl,image_uuid,image_iiifurl,image_iiifthumburl,image_viewtype,image_sequence,image_width,image_height,image_maxpixels,image_openaccess,image_created,image_modified,image_depictstmsobjectid,image_assistivetext
166663,33103add-80fa-4e01-9c6c-a6f4fb81abf1,1,2014.79.212,,Plate Number 166. Jumping over a man's back (leapfrog),1887,1887,1887,1876 to 1900,collotype,"image: 16.7 × 44.7 cm (6 9/16 × 17 5/8 in.)
sheet: 48.2 × 61 cm (19 × 24 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 166 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.166",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,00b99617-599a-4b34-b640-91a203a5cd33,https://api.nga.gov/iiif/00b99617-599a-4b34-b640-91a203a5cd33,"https://api.nga.gov/iiif/00b99617-599a-4b34-b640-91a203a5cd33/full/!200,200/0/default.jpg",primary,0,4696,1741,,1,2015-09-23 12:19:15-04,2026-01-22 10:01:22-05,166663,
167033,ad58f4af-af9a-4005-bfc5-4aba9b854eff,1,2014.79.582,,"Plate Number 615. ""Hansel"" cantering, bareback",1887,1887,1887,1876 to 1900,collotype,"image: 23 × 32.6 cm (9 1/16 × 12 13/16 in.)
sheet: 47.63 × 60.33 cm (18 3/4 × 23 3/4 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 615 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.561",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,01828511-c569-4e5d-865d-57bec338368c,https://api.nga.gov/iiif/01828511-c569-4e5d-865d-57bec338368c,"https://api.nga.gov/iiif/01828511-c569-4e5d-865d-57bec338368c/full/!200,200/0/default.jpg",primary,0,3527,2483,,1,2015-09-30 12:23:06-04,2026-01-22 09:57:52-05,167033,
184486,d9e8bb03-b4a8-4c41-809a-8e467ed7858a,1,2015.19.4127,,"Plate Number 535. Movement of the hand, beating time",1887,1887,1887,1876 to 1900,collotype,"image: 24.1 × 30 cm (9 1/2 × 11 13/16 in.)
sheet: 48.26 × 60.96 cm (19 × 24 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 535 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.488",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2025-12-22 22:01:37.637-05,,,01c76891-2c29-41cf-b4d4-79f9c5b828b7,https://api.nga.gov/iiif/01c76891-2c29-41cf-b4d4-79f9c5b828b7,"https://api.nga.gov/iiif/01c76891-2c29-41cf-b4d4-79f9c5b828b7/full/!200,200/0/default.jpg",primary,0,3266,2624,,1,2015-10-29 12:59:03-04,2026-01-22 09:42:14-05,184486,
166829,75b94e0c-a8d2-4136-95b6-d08fb43e71a7,1,2014.79.378,,"Plate Number 355. On guard, walking and turning around",1887,1887,1887,1876 to 1900,collotype,"image: 21.5 × 35.6 cm (8 7/16 × 14 in.)
sheet: 48.2 × 61.2 cm (19 × 24 1/8 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 355 / Copyright 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.340",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,01eef9b9-4400-4b9b-afe9-efd2940d1fce,https://api.nga.gov/iiif/01eef9b9-4400-4b9b-afe9-efd2940d1fce,"https://api.nga.gov/iiif/01eef9b9-4400-4b9b-afe9-efd2940d1fce/full/!200,200/0/default.jpg",primary,0,3743,2247,,1,2015-09-23 11:02:35-04,2026-01-22 09:48:32-05,166829,
167123,be3fed91-c885-46e7-b69a-3e7759a02cc7,1,2014.79.672,,Plate Number 747. Baboon walking on all fours,1887,1887,1887,1876 to 1900,collotype,"image: 23.7 × 30.8 cm (9 5/16 × 12 1/8 in.)
sheet: 47.63 × 60.33 cm (18 3/4 × 23 3/4 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 747 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.655",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,01f4210d-54bb-40c3-be32-d8b39e01b825,https://api.nga.gov/iiif/01f4210d-54bb-40c3-be32-d8b39e01b825,"https://api.nga.gov/iiif/01f4210d-54bb-40c3-be32-d8b39e01b825/full/!200,200/0/default.jpg",primary,0,3426,2620,,1,2015-10-07 12:13:15-04,2026-01-22 10:02:48-05,167123,
167082,92ed07d6-e913-4b01-8d90-5ed450afb546,1,2014.79.631,,"Plate Number 687. Fallow deer, buck and group of does, galloping",1887,1887,1887,1876 to 1900,collotype,"image: 18.1 × 41 cm (7 1/8 × 16 1/8 in.)
sheet: 48.26 × 60.96 cm (19 × 24 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 687 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.611",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,022f5e84-6fed-459f-8c0d-ed85f16a1469,https://api.nga.gov/iiif/022f5e84-6fed-459f-8c0d-ed85f16a1469,"https://api.nga.gov/iiif/022f5e84-6fed-459f-8c0d-ed85f16a1469/full/!200,200/0/default.jpg",primary,0,4555,2027,,1,2015-10-07 11:28:46-04,2026-01-22 09:55:18-05,167082,
166755,f4bb58f0-140c-483c-9d58-36015319b891,1,2014.79.304,,"Plate Number 277. Baseball, batting",1887,1887,1887,1876 to 1900,collotype,"image: 20.1 × 35.55 cm (7 15/16 × 14 in.)
sheet: 48.4 × 61.2 cm (19 1/16 × 24 1/8 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 277 / Copyright 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.263",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,02b1d102-2798-404c-8944-f9f9700d1c51,https://api.nga.gov/iiif/02b1d102-2798-404c-8944-f9f9700d1c51,"https://api.nga.gov/iiif/02b1d102-2798-404c-8944-f9f9700d1c51/full/!200,200/0/default.jpg",primary,0,3726,2108,,1,2015-09-23 11:55:06-04,2026-01-22 10:01:05-05,166755,
181219,41729d14-3936-42c1-8404-c382225293e9,1,2015.19.4118,,Plate Number 401. Emptying a bucket of water,1887,1887,1887,1876 to 1900,collotype,"image: 25.4 × 28.8 cm (10 × 11 5/16 in.)
sheet: 48.2 × 61.2 cm (19 × 24 1/8 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE 401 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.385",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,02d1938d-3452-433e-9eae-6ac45dbab358,https://api.nga.gov/iiif/02d1938d-3452-433e-9eae-6ac45dbab358,"https://api.nga.gov/iiif/02d1938d-3452-433e-9eae-6ac45dbab358/full/!200,200/0/default.jpg",primary,0,3136,2755,,1,2015-10-29 12:23:08-04,2026-01-22 09:44:15-05,181219,
167109,eca83001-4ec6-4690-b79a-2f26a4750abe,1,2014.79.658,,Plate Number 732. Elephant walking,1887,1887,1887,1876 to 1900,collotype,"image: 24.13 × 31.12 cm (9 1/2 × 12 1/4 in.)
sheet: 47.63 × 60.33 cm (18 3/4 × 23 3/4 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 732 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.640",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,02d52345-a944-47a9-849c-3c4d6a66c1bf,https://api.nga.gov/iiif/02d52345-a944-47a9-849c-3c4d6a66c1bf,"https://api.nga.gov/iiif/02d52345-a944-47a9-849c-3c4d6a66c1bf/full/!200,200/0/default.jpg",primary,0,3491,2685,,1,2015-10-07 10:32:33-04,2026-01-22 09:45:30-05,167109,
220613,928f0ccd-0172-461c-b559-f14f05fc41de,1,2019.131.6,,Plate Number 430. Toilet; taking off clothes,1887,1887,1887,1876 to 1900,collotype,"image: 17.3 × 41.1 cm (6 13/16 × 16 3/16 in.)
sheet: 47.8 × 60.4 cm (18 13/16 × 23 3/4 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 430 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; by unknown hand, bottom right in graphite: Living/Dress/Undr. FN; on verso, by unknown hand, bottom left in graphite: Eadweard MUYBRIDGE / English (1830 - 1904); bottom left: - ""Taking off clothing"" / (Plate # 430 of 781 from the series / ""Animal Locomotion""); bottom center: 1884-86 / photographs / collotype; bottom center: paper?; bottom center: Edition: 37 complete sets, plus approx. 415 Portfolios / of 100, or more, random plates of subscriber's choice; bottom right: Published in 1887 under the auspices of / University of Penn. at Philadelphia / Printed by N.Y. Photogravure Co. of Brooklyn; bottom right: 345P1079",,"Muybridge, Eadweard",Eadweard Muybridge,"(Equinox Gallery, Vancouver); NGA purchase (through Laurence Miller Gallery, New York), 2019.",New Century Fund,Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,0312953f-728e-4d19-84c7-3823b9c5cb2f,https://api.nga.gov/iiif/0312953f-728e-4d19-84c7-3823b9c5cb2f,"https://api.nga.gov/iiif/0312953f-728e-4d19-84c7-3823b9c5cb2f/full/!200,200/0/default.jpg",primary,0,7082,2980,,1,2019-10-21 18:11:02-04,2026-01-21 13:40:13-05,220613,
