Label,Image URI,Plate Number,Object ID,IIIF,Note,,,,,Provider,Manifest
Plate Number 224. Missing,,224,,Yes,https://www.si.edu/object/animal-locomotion-plate-224%3Anmah_1889458,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007304
Plate Number 225. Missing,,225,,Yes,https://www.si.edu/object/animal-locomotion-plate-225%3Anmah_1889461,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007307
Plate Number 226. Missing,,226,,Yes,https://www.americanhistory.si.edu/pt/collections/object/nmah_1889462,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007308
Plate Number 235. Missing,,235,,Yes,https://www.si.edu/object/animal-locomotion-plate-235%3Anmah_1889472,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007318
Plate Number 238. Missing,,238,,Yes,https://www.si.edu/object/animal-locomotion-plate-238%3Anmah_1889476,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007322
Plate Number 247. Missing,,247,,Yes,https://www.si.edu/object/animal-locomotion-plate-247:nmah_1889485,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007331
Plate Number 254. Missing,,254,,Yes,https://www.si.edu/object/animal-locomotion-plate-254:nmah_1889492,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007338
Plate Number 255. Missing,,255,,Yes,https://www.si.edu/object/animal-locomotion-plate-255:nmah_1889493,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007339
Plate Number 262. Missing,,262,,Yes,https://www.si.edu/object/animal-locomotion-plate-262:nmah_1889501,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007347
Plate Number 264. Missing,,264,,Yes,https://www.si.edu/object/animal-locomotion-plate-264:nmah_1889504,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007350
Plate Number 304. Missing,,304,,Yes,https://americanhistory.si.edu/collections/object/nmah_1889566,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007552
Plate Number 367. Missing,,367,,Yes,https://www.digitalcommonwealth.org/search/commonwealth:707960848,,,,,Smithsonian,https://www.digitalcommonwealth.org/search/commonwealth:707960848/manifest
Plate Number 402. Missing,,402,,Yes,https://www.si.edu/object/animal-locomotion-plate-402:nmah_1890057,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007560
Plate Number 407. Missing,,407,,Yes,https://www.si.edu/object/animal-locomotion-plate-407:nmah_1890061,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007564
Plate Number 409. Missing,,409,,Yes,https://www.si.edu/object/animal-locomotion-plate-409:nmah_1890064,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007567
Plate Number 411. Missing,,411,,Yes,https://www.si.edu/object/animal-locomotion-plate-411:nmah_1890066,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007569
Plate Number 412. Missing,,412,,Yes,https://www.si.edu/object/animal-locomotion-plate-412:nmah_1890067,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007570
Plate Number 413. Missing,,413,,Yes,https://www.si.edu/object/animal-locomotion-plate-413:nmah_1890068,,,,,Smithsonian,https://ids.si.edu/ids/manifest/NMAH-AHB2018q007571
