Label,Image URI,Plate Number,Provider
Plate Number 224.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007304/info.json,224,Smithsonian Institution
Plate Number 225.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007307/info.json,225,Smithsonian Institution
Plate Number 226.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007308/info.json,226,Smithsonian Institution
Plate Number 235.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007318/info.json,235,Smithsonian Institution
Plate Number 238.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007322/info.json,238,Smithsonian Institution
Plate Number 247.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007331/info.json,247,Smithsonian Institution
Plate Number 254.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007338/info.json,254,Smithsonian Institution
Plate Number 255.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007339/info.json,255,Smithsonian Institution
Plate Number 262.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007347/info.json,262,Smithsonian Institution
Plate Number 264.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007350/info.json,264,Smithsonian Institution
Plate Number 304.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007552/info.json,304,Smithsonian Institution
Plate Number 367.,https://iiif.digitalcommonwealth.org/iiif/2/commonwealth:70796085j/info.json,367,Boston Public Library
Plate Number 402.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007560/info.json,402,Smithsonian Institution
Plate Number 407.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007564/info.json,407,Smithsonian Institution
Plate Number 409.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007567/info.json,409,Smithsonian Institution
Plate Number 411.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007569/info.json,411,Smithsonian Institution
Plate Number 412.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007570/info.json,412,Smithsonian Institution
Plate Number 413.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007571/info.json,413,Smithsonian Institution
Plate Number 415.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007573/info.json,415,Smithsonian Institution
Plate Number 419.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007577/info.json,419,Smithsonian Institution
Plate Number 425.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007583/info.json,425,Smithsonian Institution
Plate Number 427.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007585/info.json,427,Smithsonian Institution
Plate Number 429.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007587/info.json,429,Smithsonian Institution
Plate Number 432.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007589/info.json,432,Smithsonian Institution
Plate Number 436.,https://ids.si.edu/ids/iiif/NMAH-AHB2018q007593/info.json,436,Smithsonian Institution
