Label,Image URI,Plate Number,Object ID
Plate Number 224. Missing,,224,
Plate Number 225. Missing,,225,
Plate Number 226. Missing,,226,
Plate Number 235. Missing,,235,
Plate Number 238. Missing,,238,
Plate Number 247. Missing,,247,
Plate Number 254. Missing,,254,
Plate Number 255. Missing,,255,
Plate Number 262. Missing,,262,
Plate Number 264. Missing,,264,
Plate Number 304. Missing,,304,
Plate Number 367. Missing,,367,
Plate Number 402. Missing,,402,
Plate Number 407. Missing,,407,
Plate Number 409. Missing,,409,
Plate Number 411. Missing,,411,
Plate Number 412. Missing,,412,
Plate Number 413. Missing,,413,
Plate Number 415. Missing,,415,
Plate Number 419. Missing,,419,
Plate Number 425. Missing,,425,
Plate Number 427. Missing,,427,
Plate Number 429. Missing,,429,
Plate Number 432. Missing,,432,
Plate Number 436. Missing,,436,
Plate Number 440. Missing,,440,
Plate Number 442. Missing,,442,
Plate Number 448. Missing,,448,
Plate Number 450. Missing,,450,
Plate Number 452. Missing,,452,
Plate Number 453. Missing,,453,
Plate Number 482. Missing,,482,
Plate Number 493. Missing,,493,
Plate Number 500. Missing,,500,
Plate Number 526. Missing,,526,
Plate Number 528. Missing,,528,
Plate Number 537. Missing,,537,
Plate Number 547. Missing,,547,
Plate Number 551. Missing,,551,
Plate Number 552. Missing,,552,
Plate Number 554. Missing,,554,
Plate Number 558. Missing,,558,
Plate Number 560. Missing,,560,
Plate Number 658. Missing,,658,
Plate Number 659. Missing,,659,
Plate Number 660. Missing,,660,
Plate Number 662. Missing,,662,
Plate Number 663. Missing,,663,
Plate Number 664. Missing,,664,
Plate Number 666. Missing,,666,
Plate Number 675. Missing,,675,
Plate Number 678. Missing,,678,
Plate Number 703. Missing,,703,
Plate Number 704. Missing,,704,
Plate Number 708. Missing,,708,
Plate Number 709. Missing,,709,
Plate Number 711. Missing,,711,
Plate Number 717. Missing,,717,
Plate Number 719. Missing,,719,
