Label,Image URI,Plate Number,Provider
Plate Number 1. Walking,https://api.nga.gov/iiif/1f8529ce-b2f8-4cd8-a088-1c134fe59a16/info.json,1,National Gallery of Art
Plate Number 2. Walking,https://api.nga.gov/iiif/9c3f4b75-cfd0-4fdb-b8c9-d3297206f6c7/info.json,2,National Gallery of Art
Plate Number 3. Walking,https://api.nga.gov/iiif/43b2e323-d4ec-4707-a16e-83ee6077f97f/info.json,3,National Gallery of Art
Plate Number 4. Walking,https://api.nga.gov/iiif/3dc5ff9a-4de3-4c57-bf2d-564d23710b0c/info.json,4,National Gallery of Art
Plate Number 5. Walking,https://api.nga.gov/iiif/5c2060ad-9e54-49be-a853-00974ab47823/info.json,5,National Gallery of Art
Plate Number 6. Walking,https://api.nga.gov/iiif/bf43ac3a-8ba5-4c35-9cd7-54b001735312/info.json,6,National Gallery of Art
Plate Number 7. Walking,https://api.nga.gov/iiif/a7f70159-feac-4d1d-8ea8-e194822153d3/info.json,7,National Gallery of Art
Plate Number 8. Walking,https://api.nga.gov/iiif/d115a9f2-4a23-49ff-beed-0edb9c262955/info.json,8,National Gallery of Art
Plate Number 9. Walking,https://api.nga.gov/iiif/fe7a2bcf-446a-4251-a0bb-b08e1716ee6d/info.json,9,National Gallery of Art
Plate Number 10. Walking,https://api.nga.gov/iiif/21cd475a-df8f-407b-9e54-1bda05018432/info.json,10,National Gallery of Art
Plate Number 11. Walking,https://api.nga.gov/iiif/438ef2f0-8487-4c02-ae99-b57aa434cd7e/info.json,11,National Gallery of Art
Plate Number 12. Walking,https://api.nga.gov/iiif/dc41db9d-d35a-4cd0-8a34-1e6abb57bed4/info.json,12,National Gallery of Art
Plate Number 13. Walking,https://api.nga.gov/iiif/44a0397f-e813-41b3-a267-192ea509850c/info.json,13,National Gallery of Art
"Plate Number 14. Walking, right hand at chin",https://api.nga.gov/iiif/110a5920-40ac-46f0-aa6f-f2c7e13e9c4f/info.json,14,National Gallery of Art
Plate Number 15. Walking,https://api.nga.gov/iiif/db9a747f-4001-4b62-b363-163d1df8557d/info.json,15,National Gallery of Art
Plate Number 16. Walking,https://api.nga.gov/iiif/f2002dd2-ac9c-4faa-94fe-a6c8cee58047/info.json,16,National Gallery of Art
Plate Number 17. Walking,https://api.nga.gov/iiif/67cb0b29-03bc-4039-aecf-35dd70349d03/info.json,17,National Gallery of Art
"Plate Number 18. Walking, left hand across abdomen",https://api.nga.gov/iiif/7e15f50d-d3d2-48d6-96a1-151b24c4fdd6/info.json,18,National Gallery of Art
